a,b,n,cross_rate,overlap_rate,gap_median,gap_p25,gap_p75
2,2,1753,0.583000570450656,0.2567027952082145,2.4709219000014855,-0.05969310000182304,3.226158299998133
4,4,302,0.5,0.13245033112582782,3.5611038999992104,0.6266664750000928,4.111322925001332
4,2,150,0.7133333333333334,0.19333333333333333,3.221537350000773,0.4708098249998329,3.9856704749999707
2,4,148,0.6959459459459459,0.3108108108108108,1.3848721999998475,-0.1732087750001483,3.5836041250001927
0,2,134,0.9104477611940298,0.44776119402985076,0.2112674000009065,-0.589845774998139,2.1855234750005366
2,0,129,0.9302325581395349,0.43410852713178294,0.5547249999999622,-0.5488582999987557,2.563215999998647
0,0,66,0.16666666666666666,0.07575757575757576,3.20762139999988,2.678338899999403,4.096093225000573
17,2,60,0.8,0.31666666666666665,1.7852917000000161,-0.26266459999988,2.842309975001399
2,17,59,0.8983050847457628,0.3728813559322034,0.678456699999515,-0.6449115000000347,2.6187791999998353
17,17,52,0.1346153846153846,0.057692307692307696,2.0993166500011284,1.345216725000025,3.2676812250003877
16,2,48,0.5833333333333334,0.25,2.273750000000291,-0.015794300000379735,3.6202402500009896
2,16,43,0.7441860465116279,0.3488372093023256,2.244974999999613,-0.38534475000233215,3.112466699999686
2,7,29,0.6896551724137931,0.3793103448275862,1.8892415999998775,-0.2892499999998108,3.6001665999997385
0,17,26,1.0,0.4230769230769231,0.9934657499998139,-0.7705783499992549,2.47157849999941
17,0,24,0.9583333333333334,0.5833333333333334,-0.5456333500023902,-0.8312546000008751,0.5521874500000195
7,2,24,0.75,0.20833333333333334,2.79834585000026,1.3132372250001936,3.8128466750001735
4,0,22,0.8181818181818182,0.2727272727272727,1.0011041499992643,0.005409949999830133,2.9146222000000535
0,4,18,0.7777777777777778,0.2222222222222222,1.214893650000704,0.2705797500002518,3.1788207000001307
13,13,16,0.0625,0.0625,4.726512500001263,4.579141699999127,5.075010450000491
2,10,16,0.4375,0.3125,2.593516649999856,-0.16181082499770127,3.6498833000002264
15,15,16,0.125,0.0,4.783205350000117,4.31475207499966,6.551227049999852
9,2,16,0.875,0.3125,1.9217892500000744,-0.6550104000018564,3.7765917499987154
5,2,16,1.0,0.125,2.990571849999583,0.7132643499990081,3.722065625000141
2,5,14,1.0,0.42857142857142855,0.9385213499999381,-0.37800414999992427,3.4119608249999978
10,2,13,0.46153846153846156,0.07692307692307693,2.5214582999999493,0.801023700000087,3.8194750000002387
2,9,13,0.9230769230769231,0.3076923076923077,2.309358299999076,-0.5966749999988679,2.7603917000014917
2,8,12,0.6666666666666666,0.16666666666666666,2.6604016500001535,0.583741700000008,3.739674999998442
4,5,11,1.0,0.18181818181818182,3.461200000001554,0.8815999500000089,4.218141650000689
0,16,10,1.0,0.6,-0.5126538000004075,-0.5996571750006296,1.5550107000003663
5,4,10,1.0,0.2,3.316017549999401,0.008426474999890132,4.812704749999909
4,16,10,0.5,0.1,4.167449500000316,2.980749900000319,6.550723699999992
